portfolio,project_name,estimated_cost,expenditure_june_19,budget_2019_20
Aboriginal and Torres Strait Islander Partnerships,"Other property, plant and equipment",NA,NA,100
Aboriginal and Torres Strait Islander Partnerships,Cape York splash parks,4000,3880,120
Aboriginal and Torres Strait Islander Partnerships,Indigenous land and infrastructure programs,88756,88356,400
Aboriginal and Torres Strait Islander Partnerships,Kickstart Mossman Gorge infrastructure,4818,4453,365
Aboriginal and Torres Strait Islander Partnerships,Kowanyama Men's Shed and Women's Meeting Place,1249,929,320
Aboriginal and Torres Strait Islander Partnerships,Palm Island Splash Park,3000,NA,2500
Aboriginal and Torres Strait Islander Partnerships,Three Rivers Community Centre redevelopment,3267,2667,600
Aboriginal and Torres Strait Islander Partnerships,Thursday Island Splash Park,3000,NA,2500
Aboriginal and Torres Strait Islander Partnerships,Wathaniin on-country training accommodation,500,163,337
Agriculture and Fisheries,Computer equipment,NA,NA,4965
Agriculture and Fisheries,Minor works,NA,NA,2500
Agriculture and Fisheries,Heavy plant and equipment,NA,NA,2000
Agriculture and Fisheries,Scientific equipment,NA,NA,2000
Agriculture and Fisheries,Research facilities development,NA,NA,1862
Agriculture and Fisheries,Upgrade and refurbishment of existing facilities at Toowoomba,9600,7914,1686
Agriculture and Fisheries,Vessels and marine equipment,NA,NA,1100
Agriculture and Fisheries,"Other property, plant and equipment",NA,NA,918
Agriculture and Fisheries,Refurbishment of Wacol Tick Fever Centre,1500,NA,700
Agriculture and Fisheries,Ecosciences and Health and Food Sciences Precincts fitout,NA,NA,406
Agriculture and Fisheries,Software purchases and development,NA,NA,600
Agriculture and Fisheries,Royal Society for the Prevention of Cruelty to Animals capital grant,3000,2086,914
Agriculture and Fisheries,Other asset replacements,300,NA,300
Agriculture and Fisheries,Racing Science Centre laboratory technology upgrades,11637,7518,1360
Agriculture and Fisheries,Registration and Licencing Environment (RandLE),1623,NA,1623
"Child Safety, Youth and Women",Residential Care Facilities,NA,NA,2053
"Child Safety, Youth and Women",ICMS Replacement Program - Stage 1,21901,NA,14782
"Child Safety, Youth and Women",Information Systems Enhancements,NA,NA,3095
"Child Safety, Youth and Women",Information Technology Infrastructure Replacement,NA,NA,851
"Child Safety, Youth and Women",Office Accommodation,NA,NA,3977
"Communities, Disability Services and Seniors",General property upgrades,NA,NA,3480
"Communities, Disability Services and Seniors",Thursday Island Community Centre,4900,1100,2500
"Communities, Disability Services and Seniors",Bowen Neighbourhood Centre,2600,408,892
"Communities, Disability Services and Seniors",New Farm Neighbourhood Centre,1792,250,1542
"Communities, Disability Services and Seniors",Kallangur Community Centre,4100,730,1270
"Communities, Disability Services and Seniors",Wilsonton Neighbourhood Centre,3800,429,371
"Communities, Disability Services and Seniors",Ripley Neighbourhood Centre,4100,NA,600
"Communities, Disability Services and Seniors",Townsville Women's Centre,3200,330,2870
"Communities, Disability Services and Seniors",The Oasis Townsville,4300,200,4100
"Communities, Disability Services and Seniors",General property upgrades,NA,NA,2159
"Communities, Disability Services and Seniors",Office accommodation,NA,NA,226
"Communities, Disability Services and Seniors",Atherton Community Centre,2050,151,1899
"Communities, Disability Services and Seniors",Elderly Parent Carer Innovation Initiative,3803,3003,800
Education,New Inner City North State Secondary College - Stage 1,77907,20493,56935
Education,New Inner City North State Secondary College - Stage 2,31991,NA,2389
Education,New Inner City South State Secondary College - Stage 1 and 2,118146,4022,33672
Education,New Inner City South State Secondary College - External site works and upgrades,6088,894,5194
Education,New primary school in Palmview,58021,500,17332
Education,New primary school in Pimpama,54180,500,14848
Education,New primary school in Ripley - Stage 1,41906,15374,26532
Education,New secondary school in Calliope - Stage 1,36888,16659,20229
Education,New secondary school in Caloundra South,83062,500,23977
Education,New secondary school in Coomera - Stage 1,53972,7712,43463
Education,New secondary school in Mango Hill - Stage 1,45533,8083,37450
Education,New secondary school in Palmview - Early works,10335,NA,4134
Education,New secondary school in Ripley - Stage 1,52229,18144,34085
Education,New secondary school in Yarrabilba - Stage 1,50731,9922,40809
Education,New special school in Caboolture - Stage 1,21215,7538,13677
Education,New special school in Palmview,62547,500,17012
Education,Agnes Water State School - Traffic safety improvements,860,NA,860
Education,Albany Creek State High School - Additional classrooms,5821,3720,2101
Education,Alexandra Hills State High School - Additional classrooms,4061,3467,594
Education,Aspley State High School - Refurbishment and upgrade works,10509,116,7417
Education,Augusta State School - Additional classrooms,5495,2901,2594
Education,Banksia Beach State School - New carpark,830,215,615
Education,Bardon State School - Covered school pick up area,860,430,430
Education,Baringa State Primary School - Construction of new primary school,31177,29660,1517
Education,Beenleigh Special School - Additional classrooms,6498,945,5553
Education,Branyan Road State School - Additional classrooms,2904,1550,1354
Education,Bray Park State High School - Additional classrooms,8000,NA,2000
Education,Bribie Island State High School - Additional classrooms,7645,5250,2395
Education,Brightwater State School - Additional classrooms,6871,4179,2692
